X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
3.65827,26.6667,5.0,132.912,141.525,1.0,2.0,2.0,0.0,0.0,0.0
5.02589,25.608,5.0076,134.371,141.509,1.0,2.0,2.0,0.000254391,-0.000197849,1.65399e-06
6.22904,24.6746,5.01861,138.294,141.48,1.0,2.0,2.0,0.000229771,-0.000177982,3.01158e-06
7.32926,23.8233,5.04016,143.091,141.436,1.0,2.0,2.0,0.000208354,-0.000162188,6.70997e-06
8.38356,23.0326,5.07783,146.35,141.44,1.0,2.0,2.0,0.000212254,-0.000153974,6.91679e-06
9.45831,22.271,5.12352,147.784,141.434,1.0,2.0,2.0,0.000216351,-0.000151111,8.69829e-06
10.5303,21.5231,5.16674,148.725,141.421,1.0,2.0,2.0,0.000213142,-0.000151841,9.01579e-06
11.6012,20.7883,5.21137,148.843,141.389,1.0,2.0,2.0,0.000216522,-0.000140586,9.79822e-06
12.6928,20.1095,5.25786,148.495,141.375,1.0,2.0,2.0,0.000219853,-0.000130551,8.38212e-06
13.8267,19.5152,5.29947,148.194,141.358,1.0,2.0,2.0,0.000230315,-0.000109119,8.26002e-06
14.9968,19.0142,5.32214,148.534,141.364,1.0,2.0,2.0,0.000235351,-9.12921e-05,1.30891e-07
16.2038,18.5916,5.34682,148.63,141.345,1.0,2.0,2.0,0.000245927,-8.1235e-05,6.79552e-06
17.3878,18.1739,5.40066,147.99,141.38,1.0,2.0,2.0,0.000241855,-7.17407e-05,4.52251e-06
18.5425,17.8589,5.40843,148.443,141.348,1.0,2.0,2.0,0.000238416,-4.09889e-05,-5.51815e-07
19.8639,17.803,5.36277,149.987,141.38,1.0,2.0,2.0,0.000305673,2.67872e-05,-1.08399e-05
21.4741,18.1312,5.31729,150.618,141.3,1.0,2.0,2.0,0.00038994,0.000132598,1.22901e-06
23.5798,18.912,5.40126,148.393,141.307,1.0,2.0,2.0,0.000452591,0.000187257,2.45205e-05
25.8414,19.9252,5.51879,146.96,141.293,1.0,2.0,2.0,0.000427898,0.000186879,2.42818e-05
28.1575,21.0365,5.6824,147.092,141.348,1.0,2.0,2.0,0.00047131,0.000233239,3.54673e-05
30.5455,22.2138,5.8427,147.544,141.363,1.0,2.0,2.0,0.0004858,0.000236371,3.38761e-05
33.0714,23.477,6.00089,147.882,141.369,1.0,2.0,2.0,0.000523265,0.000279411,3.5931e-05
35.7906,24.8889,6.15655,147.885,141.369,1.0,2.0,2.0,0.000569949,0.000296232,2.94828e-05
38.7237,26.4251,6.31447,148.301,141.394,1.0,2.0,2.0,0.000616505,0.000318227,3.21728e-05
41.921,28.0632,6.48037,148.252,141.405,1.0,2.0,2.0,0.000653315,0.000344014,2.89392e-05
45.3295,29.8034,6.61452,147.441,141.416,1.0,2.0,2.0,0.000705105,0.000349192,2.1915e-05
48.7435,31.5176,6.6771,146.031,141.419,1.0,2.0,2.0,0.000660004,0.000319663,8.0936e-06
51.9419,32.9586,6.68559,144.759,141.366,1.0,2.0,2.0,0.000613448,0.000257755,-3.18759e-06
54.8522,34.044,6.66184,145.991,141.286,1.0,2.0,2.0,0.000555837,0.000177373,-4.36892e-06
57.4758,34.7238,6.63923,149.446,141.238,1.0,2.0,2.0,0.000497793,0.000101968,-2.90186e-06
59.8259,35.0118,6.63447,152.754,141.197,1.0,2.0,2.0,0.00044789,1.33802e-05,5.85434e-06
61.9714,34.8506,6.67845,155.146,141.113,1.0,2.0,2.0,0.000418791,-8.65292e-05,1.33426e-05
63.9705,34.2771,6.72333,156.858,141.047,1.0,2.0,2.0,0.000386721,-0.000134623,7.60262e-06
65.7297,33.5902,6.72944,158.036,141.01,1.0,2.0,2.0,0.000462225,-0.000348332,2.23282e-05
68.0471,31.8782,6.78874,161.343,141.061,1.0,2.0,2.0,0.000376189,-0.000246516,-3.62772e-06
69.981,30.462,6.76075,162.48,141.166,1.0,2.0,2.0,0.000439996,-0.000378336,6.18894e-06
72.0499,28.7826,6.78596,163.261,141.215,1.0,2.0,2.0,0.000425945,-0.000345673,1.3118e-05
74.5568,26.6808,6.83992,162.594,141.359,1.0,2.0,2.0,0.000525116,-0.000405347,6.42815e-06
77.1202,24.918,6.85792,162.269,141.361,1.0,2.0,2.0,0.000491386,-0.000310748,-4.87504e-08
79.4345,23.6735,6.85943,160.989,141.309,1.0,2.0,2.0,0.000431712,-0.000206915,-1.00736e-06
81.4987,22.7771,6.88381,159.246,141.387,1.0,2.0,2.0,0.000401648,-0.000165445,7.7633e-06
83.4189,22.104,6.92435,157.003,141.356,1.0,2.0,2.0,0.000383285,-0.000125381,1.1584e-05
85.1939,21.6319,6.95288,155.018,141.338,1.0,2.0,2.0,0.000366312,-8.7566e-05,3.26897e-06
87.0711,21.3215,6.98147,152.903,141.354,1.0,2.0,2.0,0.000369076,-2.91662e-05,4.50784e-06
88.8738,21.2943,6.99059,151.301,141.367,1.0,2.0,2.0,0.000351542,1.98179e-05,9.4341e-07
