X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
0.76911,55.0013,9.49054,144.562,141.458,5.0,-9.0,6.0,0.000315511,0.000112052,-2.31386e-06
2.2217,55.6914,9.48031,144.684,141.447,5.0,-9.0,6.0,0.000264589,0.000161743,-1.62397e-06
3.40705,56.6051,9.47396,145.108,141.434,5.0,-9.0,6.0,0.000210715,0.000202717,-1.1521e-06
4.33271,57.7042,9.47093,145.785,141.421,5.0,-9.0,6.0,0.000161723,0.000234313,-1.63594e-07
5.03407,58.9353,9.47347,146.306,141.456,5.0,-9.0,6.0,0.000120596,0.000254145,8.88311e-07
5.56112,60.2376,9.4799,146.418,141.447,5.0,-9.0,6.0,9.15844e-05,0.000264789,1.65161e-06
5.96881,61.5691,9.48713,146.141,141.451,5.0,-9.0,6.0,7.34157e-05,0.000267952,1.48006e-06
6.30774,62.9046,9.49401,145.702,141.444,5.0,-9.0,6.0,6.31738e-05,0.000264706,1.39594e-06
6.61217,64.2174,9.5007,145.298,141.436,6.0,-9.0,6.0,5.97273e-05,0.00026044,1.11339e-06
6.91003,65.5009,9.50529,145.039,141.436,6.0,-9.0,6.0,6.04302e-05,0.000253287,6.25731e-07
7.21974,66.7482,9.50799,144.934,141.433,6.0,-9.0,6.0,6.39566e-05,0.000245596,5.0289e-07
7.55289,67.954,9.51072,145.035,141.443,6.0,-9.0,6.0,6.93193e-05,0.000236249,5.92786e-07
7.91386,69.1094,9.5122,145.206,141.435,6.0,-9.0,6.0,7.51449e-05,0.000225645,1.63215e-07
8.30669,70.2118,9.51296,145.438,141.424,6.0,-9.0,6.0,8.21127e-05,0.000214944,1.7882e-07
8.73823,71.2582,9.51355,145.72,141.434,6.0,-9.0,6.0,9.05327e-05,0.000203459,4.82437e-08
9.21627,72.2477,9.51273,145.985,141.414,6.0,-9.0,6.0,0.000100811,0.000192416,-1.36823e-07
9.75066,73.18,9.51196,146.247,141.429,6.0,-9.0,6.0,0.000113226,0.000180529,-9.06784e-08
10.3501,74.055,9.51125,146.473,141.412,6.0,-9.0,6.0,0.000127229,0.00016901,-3.63656e-08
