X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
0.28037,95.6749,9.06939,153.787,141.428,9.0,-34.0,11.0,0.000496732,-0.000136066,-1.06603e-06
2.58028,94.807,9.0654,150.558,141.406,9.0,-34.0,11.0,0.000421291,-0.000202931,-1.30099e-07
4.48234,93.7228,9.06719,148.75,141.361,9.0,-34.0,11.0,0.000341736,-0.000223375,-4.49922e-07
6.02938,92.6261,9.05538,150.013,141.357,9.0,-34.0,11.0,0.0002829,-0.000212729,-7.01213e-06
7.40115,91.638,9.03809,152.148,141.375,9.0,-34.0,11.0,0.000263137,-0.000190651,-7.49787e-06
8.74498,90.7742,9.02872,152.73,141.361,9.0,-34.0,11.0,0.000270628,-0.000160413,-2.21291e-06
10.1273,90.0412,9.02502,152.771,141.397,9.0,-34.0,11.0,0.000282454,-0.000133633,-2.57882e-07
11.5755,89.4319,9.02226,152.582,141.399,9.0,-34.0,11.0,0.000297272,-0.000110525,-6.43742e-07
13.0995,88.9265,9.01969,152.518,141.407,9.0,-34.0,11.0,0.000313261,-9.16585e-05,-5.83735e-07
14.7159,88.5062,9.01546,152.372,141.426,9.0,-34.0,11.0,0.000333294,-7.72252e-05,-1.11341e-06
16.4361,88.1462,9.00955,152.323,141.422,9.0,-34.0,11.0,0.000355109,-6.719e-05,-1.04909e-06
18.2697,87.8276,9.00489,152.171,141.432,9.0,-34.0,11.0,0.000378117,-5.99716e-05,-9.87698e-07
20.2176,87.5357,9.00015,151.801,141.447,9.0,-34.0,11.0,0.000400504,-5.76819e-05,-1.16003e-06
22.277,87.2432,8.99389,151.296,141.449,9.0,-34.0,11.0,0.000423207,-6.12981e-05,-1.35791e-06
24.4495,86.9183,8.98753,150.68,141.443,9.0,-34.0,11.0,0.000445338,-7.07735e-05,-1.38499e-06
26.7357,86.5242,8.97966,150.077,141.454,9.0,-34.0,11.0,0.000469313,-8.84005e-05,-1.69409e-06
29.1443,86.0141,8.9712,149.657,141.448,9.0,-34.0,11.0,0.000494524,-0.00011761,-2.00684e-06
31.688,85.3282,8.96127,149.543,141.446,9.0,-34.0,11.0,0.000524664,-0.000158419,-2.4045e-06
34.3969,84.4078,8.9507,149.762,141.42,9.0,-34.0,11.0,0.000561297,-0.00021206,-2.77288e-06
37.3042,83.1876,8.93903,150.197,141.406,9.0,-34.0,11.0,0.000603519,-0.000277993,-2.55901e-06
40.4324,81.6167,8.92743,150.36,141.4,9.0,-34.0,11.0,0.000648346,-0.000350286,-1.60285e-06
43.761,79.7039,8.91641,149.833,141.415,9.0,-34.0,11.0,0.000681728,-0.000410386,-2.0563e-06
47.2065,77.5744,8.90523,148.196,141.436,9.0,-34.0,11.0,0.000692686,-0.000432934,-2.26826e-06
50.6268,75.4729,8.89386,145.867,141.449,5.0,-34.0,11.0,0.000672098,-0.000398656,-2.47839e-06
53.9033,73.6712,8.88718,144.946,141.411,5.0,-34.0,11.0,0.000639244,-0.000315915,-8.15504e-07
57.0439,72.3571,8.88422,146.436,141.398,5.0,-34.0,11.0,0.000621093,-0.000208767,-6.07146e-07
60.1493,71.5979,8.88276,148.768,141.392,5.0,-34.0,11.0,0.000625,-9.64789e-05,3.84431e-07
63.3177,71.3823,8.88238,150.209,141.405,5.0,-34.0,11.0,0.000643529,8.20401e-06,4.37075e-07
66.5916,71.6403,8.8827,150.511,141.405,5.0,-34.0,11.0,0.000666066,9.17039e-05,-7.65264e-09
69.9704,72.2472,8.88368,149.753,141.437,5.0,-34.0,11.0,0.000684357,0.000145069,3.09701e-07
73.4237,73.0276,8.88512,147.965,141.458,5.0,-34.0,11.0,0.000694901,0.000159788,1.66178e-07
76.9042,73.7643,8.88526,145.645,141.471,5.0,-34.0,11.0,0.000696346,0.000127323,3.17273e-07
80.3708,74.2182,8.88463,144.158,141.463,5.0,-34.0,11.0,0.000690996,4.69033e-05,-5.0186e-07
83.8318,74.168,8.88407,144.922,141.455,5.0,-34.0,11.0,0.000695777,-7.31971e-05,6.2684e-08
87.3703,73.4213,8.88648,148.457,141.404,5.0,-34.0,11.0,0.000723025,-0.00023076,6.49778e-07
91.1299,71.8107,8.8937,151.899,141.344,5.0,-34.0,11.0,0.000788426,-0.000415275,2.20185e-06
95.323,69.3163,8.90427,153.457,141.351,5.0,-34.0,11.0,0.000894731,-0.000573956,1.92335e-06
100.065,66.2468,8.91247,152.174,141.405,21.0,-34.0,11.0,0.000987797,-0.000626872,1.52583e-06
104.995,63.346,8.91417,147.501,141.457,21.0,-34.0,11.0,0.000960601,-0.000507784,5.58906e-07
