X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
3.65827,68.0,5.0,132.912,141.525,5.0,9.0,9.0,0.0,0.0,0.0
3.77725,68.7029,5.00378,133.544,141.527,5.0,9.0,9.0,2.32189e-05,0.000132948,2.79033e-07
3.89252,69.3367,5.0028,135.276,141.516,5.0,9.0,9.0,2.2764e-05,0.000120113,-6.54738e-07
4.00444,69.9004,4.99798,137.732,141.511,5.0,9.0,9.0,2.2191e-05,0.000105889,-9.01267e-07
4.11483,70.3961,4.99493,140.391,141.503,5.0,9.0,9.0,2.19445e-05,9.30569e-05,-1.93695e-07
4.22475,70.8348,4.99775,142.871,141.488,5.0,9.0,9.0,2.20819e-05,8.34761e-05,1.41802e-06
4.33673,71.2339,5.00916,144.964,141.483,5.0,9.0,9.0,2.28022e-05,7.75354e-05,3.10886e-06
4.45049,71.6137,5.02647,146.76,141.467,5.0,9.0,9.0,2.34058e-05,7.78577e-05,3.78918e-06
4.56953,72.0116,5.05072,148.489,141.457,5.0,9.0,9.0,2.35265e-05,8.26413e-05,5.52213e-06
4.67838,72.4209,5.07889,149.915,141.44,5.0,9.0,9.0,1.98064e-05,7.83409e-05,5.89318e-06
4.77342,72.8044,5.11001,151.056,141.442,5.0,9.0,9.0,1.73115e-05,7.21627e-05,5.77564e-06
4.85359,73.0995,5.13736,151.616,141.438,5.0,9.0,9.0,1.62959e-05,6.16162e-05,4.88486e-06
4.92745,73.3677,5.15829,152.108,141.451,5.0,9.0,9.0,1.41848e-05,4.62293e-05,3.57383e-06
4.99855,73.6095,5.17041,152.427,141.459,5.0,9.0,9.0,1.47432e-05,5.2233e-05,1.57942e-06
5.07037,73.8851,5.1773,152.926,141.448,5.0,9.0,9.0,1.48465e-05,5.80299e-05,1.23462e-06
5.14474,74.1887,5.18403,153.326,141.436,5.0,9.0,9.0,1.48541e-05,6.34878e-05,1.39253e-06
5.21797,74.4958,5.18891,153.423,141.431,5.0,9.0,9.0,1.49944e-05,5.75807e-05,6.52755e-07
5.291,74.8021,5.19068,153.551,141.419,5.0,9.0,9.0,1.52155e-05,6.2391e-05,-2.04853e-07
5.36298,75.1088,5.18754,153.585,141.415,5.0,9.0,9.0,1.42802e-05,6.00316e-05,-6.72308e-07
5.43807,75.4128,5.1826,153.638,141.431,5.0,9.0,9.0,1.55341e-05,5.99358e-05,-1.60434e-07
5.5192,75.709,5.17832,153.737,141.429,5.0,9.0,9.0,1.77638e-05,5.68933e-05,-1.22471e-06
5.60463,75.9998,5.16807,153.766,141.414,5.0,9.0,9.0,1.49967e-05,6.91147e-05,-1.85005e-06
5.69237,76.334,5.15757,154.099,141.41,5.0,9.0,9.0,1.92379e-05,6.59924e-05,-2.69837e-06
5.79566,76.665,5.14189,154.268,141.412,5.0,9.0,9.0,2.13389e-05,6.80273e-05,-3.49896e-06
5.91802,77.0202,5.11872,154.42,141.405,5.0,9.0,9.0,2.65406e-05,7.80881e-05,-6.24774e-06
6.05387,77.4114,5.08617,154.892,141.382,5.0,9.0,9.0,3.12178e-05,6.59529e-05,-3.12344e-06
6.22268,77.732,5.06025,155.508,141.37,9.0,9.0,9.0,2.62241e-05,4.96059e-05,-2.90861e-06
6.36606,77.9967,5.04644,155.737,141.391,9.0,9.0,9.0,3.35931e-05,5.2802e-05,-1.90633e-06
6.56061,78.2776,5.04104,156.357,141.363,9.0,9.0,9.0,4.22987e-05,5.44732e-05,-1.46417e-07
6.78286,78.5491,5.04528,156.689,141.353,9.0,9.0,9.0,4.93663e-05,5.58659e-05,9.52063e-08
7.05556,78.8237,5.05171,156.902,141.362,9.0,9.0,9.0,5.99451e-05,5.41062e-05,2.23616e-06
7.38492,79.0935,5.06324,156.943,141.354,9.0,9.0,9.0,7.39317e-05,5.53197e-05,1.49352e-06
7.77789,79.366,5.0776,156.897,141.346,9.0,9.0,9.0,8.48179e-05,5.38999e-05,4.0639e-06
8.24067,79.6345,5.09972,156.941,141.371,9.0,9.0,9.0,9.96037e-05,5.40968e-05,4.53759e-06
8.77582,79.9013,5.12332,156.9,141.372,9.0,9.0,9.0,0.000112737,5.18609e-05,5.53464e-06
9.3719,80.1495,5.14945,156.62,141.382,9.0,9.0,9.0,0.000128003,4.82159e-05,4.60928e-06
10.0277,80.3698,5.16921,156.117,141.384,9.0,9.0,9.0,0.000141593,4.64897e-05,6.93823e-06
10.8162,80.6213,5.20267,156.107,141.383,9.0,9.0,9.0,0.000185614,5.67552e-05,6.69031e-06
11.8317,80.9069,5.23507,156.049,141.377,9.0,9.0,9.0,0.000222758,5.69373e-05,7.75869e-06
13.0317,81.1777,5.28471,155.784,141.391,9.0,9.0,9.0,0.000229446,5.03196e-05,1.5553e-05
14.2133,81.4375,5.35647,155.399,141.385,9.0,9.0,9.0,0.000248554,5.45973e-05,1.15575e-05
15.5183,81.695,5.43635,155.591,141.375,9.0,9.0,9.0,0.000257708,4.89817e-05,1.90197e-05
16.8372,81.9381,5.52303,155.595,141.392,9.0,9.0,9.0,0.00027578,4.89045e-05,1.66013e-05
18.2442,82.1595,5.61495,156.121,141.388,9.0,9.0,9.0,0.000287289,3.99511e-05,2.00865e-05
19.7435,82.3525,5.72403,156.535,141.376,9.0,9.0,9.0,0.000311774,3.78048e-05,2.1338e-05
21.3379,82.5285,5.82396,156.326,141.356,9.0,9.0,9.0,0.000324579,3.12771e-05,1.87957e-05
23.0318,82.6844,5.93572,156.151,141.377,9.0,9.0,9.0,0.000343606,2.68487e-05,2.32372e-05
24.7673,82.7902,6.06395,156.116,141.349,9.0,9.0,9.0,0.000355305,1.79604e-05,2.90639e-05
26.5819,82.8353,6.20926,156.051,141.372,9.0,9.0,9.0,0.000358477,-1.21544e-07,3.0888e-05
28.4669,82.803,6.36129,156.674,141.349,9.0,9.0,9.0,0.000399402,-1.38722e-05,3.25479e-05
30.4926,82.7129,6.54051,157.084,141.348,9.0,9.0,9.0,0.000412254,-3.05258e-05,4.28938e-05
32.6574,82.463,6.75657,157.027,141.346,9.0,9.0,9.0,0.000458674,-7.21883e-05,4.50848e-05
35.0276,82.0017,7.00434,157.525,141.347,9.0,9.0,9.0,0.000481814,-0.000113751,4.69692e-05
37.5157,81.2942,7.25931,157.22,141.347,9.0,9.0,9.0,0.000516532,-0.000166971,4.97431e-05
40.1451,80.352,7.53584,156.832,141.367,9.0,9.0,9.0,0.000540822,-0.000219289,5.41615e-05
42.8972,79.1567,7.81178,156.087,141.361,9.0,9.0,9.0,0.000562687,-0.000258502,5.82154e-05
45.7735,77.8084,8.1288,154.888,141.358,9.0,9.0,9.0,0.000584197,-0.000279566,6.2876e-05
48.6982,76.365,8.45327,153.15,141.371,5.0,9.0,9.0,0.000588491,-0.000291739,6.45416e-05
51.5972,74.9646,8.78496,152.388,141.403,5.0,9.0,9.0,0.000572095,-0.000273079,6.61242e-05
54.4178,73.7544,9.13327,152.305,141.368,5.0,9.0,9.0,0.000556858,-0.000214176,7.23591e-05
57.1784,72.8906,9.50346,152.878,141.352,6.0,9.0,9.0,0.000552767,-0.000128499,7.60522e-05
59.9476,72.4132,9.86026,153.493,141.355,6.0,9.0,9.0,0.000551461,-7.02292e-05,6.43559e-05
62.764,72.2774,10.1736,153.327,141.369,6.0,9.0,9.0,0.00056492,4.22741e-06,5.65238e-05
65.6546,72.478,10.4311,152.843,141.375,6.0,9.0,9.0,0.000585499,7.24812e-05,4.61105e-05
68.5686,72.9138,10.6313,152.301,141.371,6.0,9.0,9.0,0.000576086,0.000105592,3.66246e-05
71.5082,73.5004,10.7718,151.073,141.387,6.0,9.0,9.0,0.000594508,0.000135146,2.77632e-05
74.4748,74.1472,10.881,150.015,141.417,6.0,9.0,9.0,0.000588783,0.000122319,1.90055e-05
77.4084,74.7024,10.9722,148.62,141.421,6.0,9.0,9.0,0.000582734,9.50664e-05,1.86468e-05
80.315,75.0613,11.0627,147.317,141.391,6.0,9.0,9.0,0.000579925,4.23134e-05,1.91911e-05
83.2235,75.0924,11.1532,146.749,141.386,6.0,9.0,9.0,0.000584554,-3.69693e-05,1.20287e-05
86.1635,74.668,11.2414,147.508,141.388,6.0,9.0,9.0,0.000592001,-0.000139611,1.20143e-05
89.1574,73.7078,11.2747,148.903,141.373,6.0,9.0,9.0,0.000612186,-0.000257878,1.49373e-06
92.3427,72.1188,11.2988,150.579,141.315,6.0,9.0,9.0,0.000665832,-0.000376288,6.1505e-06
95.7399,70.0245,11.3012,152.102,141.245,6.0,9.0,9.0,0.000739811,-0.000464623,-3.5719e-05
99.4677,67.5817,11.2478,152.094,141.284,22.0,9.0,9.0,0.000776114,-0.000514699,-1.02451e-05
103.513,65.0678,11.1834,149.05,141.31,22.0,9.0,9.0,0.000829413,-0.00047752,-1.52828e-05
107.543,63.0279,11.0726,146.456,141.333,22.0,9.0,9.0,0.000782192,-0.00033321,-3.20174e-05
111.305,61.7542,10.9568,147.512,141.315,22.0,9.0,9.0,0.000724763,-0.000174629,-2.79758e-05
114.758,61.3058,10.8078,150.103,141.316,22.0,9.0,9.0,0.000655464,-1.37083e-05,-2.99116e-05
117.962,61.6662,10.679,153.293,141.28,22.0,9.0,9.0,0.000621386,0.000154515,-2.6135e-05
121.007,62.8623,10.5401,155.88,141.227,22.0,9.0,9.0,0.000600635,0.000333132,-2.68321e-05
124.008,64.8726,10.42,157.097,141.113,22.0,9.0,9.0,0.000617862,0.000495901,-2.55007e-05
127.149,67.5151,10.3358,158.037,141.093,22.0,9.0,9.0,0.000637453,0.000564957,-1.91314e-05
130.474,70.5781,10.2772,157.609,141.178,22.0,9.0,9.0,0.000675341,0.00063498,-2.98821e-06
133.907,73.5937,10.1579,154.755,141.23,22.0,9.0,9.0,0.000621402,0.000503868,-2.82062e-05
136.941,75.7944,10.0354,153.687,141.217,22.0,9.0,9.0,0.000618315,0.000385974,-2.00375e-05
140.006,77.2703,9.95091,152.766,141.282,22.0,9.0,9.0,0.000629524,0.000215652,-1.00822e-05
143.224,78.0149,9.88359,152.115,141.336,26.0,9.0,9.0,0.00067248,8.96348e-05,-1.06347e-05
146.599,78.1979,9.82093,151.317,141.357,26.0,9.0,9.0,0.000672055,-7.98741e-06,-1.32535e-05
149.96,78.0168,9.74588,150.684,141.384,26.0,9.0,9.0,0.000665116,-5.95215e-05,-1.43055e-05
153.324,77.644,9.68738,150.336,141.407,26.0,9.0,9.0,0.000664829,-8.44679e-05,-9.61225e-06
156.539,77.2402,9.63809,151.396,141.394,22.0,9.0,9.0,0.000616106,-7.80384e-05,-8.62508e-06
159.476,76.9122,9.60135,152.978,141.364,22.0,9.0,9.0,0.000563135,-5.04331e-05,-6.11979e-06
162.119,76.733,9.58429,153.963,141.385,22.0,9.0,9.0,0.000495455,-2.01385e-05,-2.69793e-07
164.499,76.7322,9.58266,154.638,141.381,22.0,9.0,9.0,0.000457428,2.00516e-05,5.02543e-07
166.701,76.9382,9.59462,155.287,141.379,22.0,9.0,9.0,0.000433633,6.57087e-05,3.29898e-06
168.813,77.37,9.61443,155.74,141.374,22.0,9.0,9.0,0.000415561,0.000110157,4.8165e-06
170.853,78.0176,9.64021,156.209,141.37,26.0,9.0,9.0,0.000401823,0.000150097,5.86189e-06
172.856,78.8535,9.67009,156.483,141.342,26.0,9.0,9.0,0.000399055,0.000183512,5.89102e-06
174.848,79.8115,9.70318,156.645,141.32,26.0,9.0,9.0,0.000399452,0.000200247,7.23202e-06
176.871,80.8446,9.74163,156.611,141.311,26.0,9.0,9.0,0.000411626,0.000212198,7.20041e-06
178.974,81.9201,9.77187,156.359,141.316,26.0,9.0,9.0,0.000435088,0.000219188,6.36613e-06
181.192,82.9736,9.79815,156.101,141.327,26.0,9.0,9.0,0.000458155,0.00020494,5.56052e-06
183.58,83.9554,9.8227,155.772,141.338,26.0,9.0,9.0,0.000498154,0.000187866,3.46014e-06
186.169,84.7978,9.84606,155.14,141.355,26.0,9.0,9.0,0.000532099,0.000140218,2.85406e-06
188.845,85.3579,9.87238,154.761,141.356,26.0,9.0,9.0,0.000558117,9.6363e-05,6.1753e-06
191.674,85.6796,9.90095,153.849,141.376,26.0,9.0,9.0,0.000578389,3.91002e-05,6.79185e-06
194.558,85.6921,9.93831,153.403,141.368,26.0,9.0,9.0,0.000584582,-2.52305e-05,7.21926e-06
197.538,85.4096,9.98191,152.787,141.362,42.0,9.0,9.0,0.000600026,-9.52665e-05,1.03115e-05
200.543,84.7184,10.0308,152.584,141.359,42.0,9.0,9.0,0.000596963,-0.000183716,9.25267e-06
203.504,83.5595,10.079,152.246,141.352,42.0,9.0,9.0,0.000583862,-0.000278172,1.15371e-05
206.355,81.9533,10.1169,151.586,141.352,42.0,9.0,9.0,0.000560067,-0.000361926,5.3608e-06
209.07,79.9906,10.1212,150.652,141.359,42.0,9.0,9.0,0.000523395,-0.00041518,-1.9378e-06
211.588,77.8738,10.0909,150.335,141.358,42.0,9.0,9.0,0.000480073,-0.000424093,-8.12923e-06
213.823,75.8415,10.0606,150.721,141.361,38.0,9.0,9.0,0.000412667,-0.000381354,-4.22722e-06
215.83,74.0589,10.0234,151.446,141.361,38.0,9.0,9.0,0.000369615,-0.000324723,-8.06806e-06
217.687,72.6092,9.98069,152.203,141.345,38.0,9.0,9.0,0.000368431,-0.000248369,-9.77096e-06
219.555,71.5563,9.93542,153.628,141.283,38.0,9.0,9.0,0.00036529,-0.000167793,-6.48338e-06
221.516,70.8766,9.88546,155.637,141.229,38.0,9.0,9.0,0.000363825,-0.000108913,-2.3077e-05
223.517,70.5905,9.73615,156.823,141.124,38.0,9.0,9.0,0.000359465,-3.3839e-05,-1.5503e-05
225.642,70.767,9.64166,158.583,140.738,38.0,9.0,9.0,0.00043854,8.54427e-05,-3.50036e-05
228.049,71.5033,9.57787,162.653,140.97,38.0,9.0,9.0,0.000611254,0.000260964,-2.08252e-05
231.134,72.8552,9.56917,167.556,140.728,38.0,9.0,9.0,0.000540443,0.000211581,-2.97559e-06
234.581,74.4017,9.63554,168.101,140.95,38.0,9.0,9.0,0.000765262,0.000329817,7.7793e-06
238.263,75.7376,9.65166,169.725,141.242,38.0,9.0,9.0,0.000741726,0.000228085,-2.02802e-06
242.106,76.7079,9.60399,171.782,141.391,38.0,9.0,9.0,0.000768143,0.000141018,-1.28702e-05
245.647,77.0799,9.54855,172.564,141.464,38.0,9.0,9.0,0.000665579,2.25532e-05,-6.8685e-06
248.619,76.9508,9.53465,173.253,141.469,38.0,9.0,9.0,0.00053749,-6.53756e-05,-1.65976e-06
251.019,76.4722,9.54058,173.619,141.51,38.0,9.0,9.0,0.000423999,-0.000121845,3.18329e-06
252.937,75.7545,9.55811,173.351,141.474,38.0,9.0,9.0,0.000332531,-0.000160024,-6.08607e-07
254.451,74.8947,9.57762,172.082,141.46,38.0,9.0,9.0,0.000290544,-0.000183952,6.62899e-06
255.808,73.9148,9.60781,170.328,141.443,38.0,9.0,9.0,0.000257482,-0.000208213,6.6292e-06
257.038,72.8103,9.64935,168.765,141.409,38.0,9.0,9.0,0.000239628,-0.000236434,7.97309e-06
258.216,71.5713,9.68808,166.967,141.363,38.0,9.0,9.0,0.00023345,-0.000261233,9.59423e-06
259.353,70.1928,9.72321,165.448,141.364,38.0,9.0,9.0,0.000227982,-0.000296065,7.94265e-06
260.405,68.6901,9.75831,164.835,141.356,38.0,9.0,9.0,0.000216295,-0.000322409,8.03259e-06
